[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Tag[ view_end ] --START--
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000788s ]
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000863s ]
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001083s ]
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001220s ]
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.001707s ]
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_form` LIMIT 1   [ RunTime:0.000238s ]
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 0,5   [ RunTime:0.000254s ]
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Tag[ view_template ] --START--
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001543s ]
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001641s ]
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Run ParseTemplate Behavior [ RunTime:0.024130s ]
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024252s ]
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Run ContentReplace Behavior [ RunTime:0.000937s ]
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Run TokenBuild Behavior [ RunTime:0.001095s ]
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000769s ]
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000991s ]
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004011s ]
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Tag[ view_end ] --START--
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000946s ]
[ 2012-11-11T18:55:35+08:00 ] /php/app/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001021s ]
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001302s ]
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001447s ]
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.001857s ]
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_form` LIMIT 1   [ RunTime:0.000299s ]
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 0,5   [ RunTime:0.000320s ]
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Tag[ view_template ] --START--
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001365s ]
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001453s ]
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Run ParseTemplate Behavior [ RunTime:0.016815s ]
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016920s ]
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Run ContentReplace Behavior [ RunTime:0.000978s ]
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Run TokenBuild Behavior [ RunTime:0.001003s ]
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000775s ]
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000990s ]
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003951s ]
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Tag[ view_end ] --START--
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000986s ]
[ 2012-11-11T18:55:54+08:00 ] /php/app/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001059s ]
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001129s ]
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001272s ]
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.001726s ]
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_form` LIMIT 1   [ RunTime:0.000282s ]
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 0,5   [ RunTime:0.000358s ]
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Tag[ view_template ] --START--
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001635s ]
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001750s ]
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Run ParseTemplate Behavior [ RunTime:0.025063s ]
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025175s ]
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Run ContentReplace Behavior [ RunTime:0.000998s ]
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Run TokenBuild Behavior [ RunTime:0.001231s ]
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000825s ]
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001018s ]
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004294s ]
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Tag[ view_end ] --START--
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001029s ]
[ 2012-11-11T18:57:53+08:00 ] /php/app/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001166s ]
[ 2012-11-11T18:58:08+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
